Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Traffic,Actual_Delivery_Time,Parcel_Category,Distance_km,Day_of_Week,Is_Peak_Hour,Order_Minutes,Pickup_Minutes,Traffic_num,Vehicle_Motorcycle,Vehicle_Scooter,Vehicle_Van,Area_Other,Area_Semi-Urban,Area_Urban,Weather_Fog,Weather_Sandstorms,Weather_Stormy,Weather_Sunny,Weather_Windy,Parcel_Category_TE,Order_Hour,Pickup_Hour,Order_Slot,Pickup_Slot,First_Attempt_Success,Pickup_Slot_Mismatch,First_Attempt_Success_Prob
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,High,115,Cosmetics,6.242318682701243,6,0,895.0,905,3.0,1,0,0,0,0,0,0,0,1,0,0,132.90250280164364,14,15,14-15,15-16,1,1,0.1477805155989806
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,Medium,105,Shoes,13.787860239172549,4,0,1050.0,1060,2.0,0,1,0,0,0,0,0,1,0,0,0,131.1515378844711,17,17,17-18,17-18,1,0,0.2995602026193156
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,Low,100,Apparel,2.9302578007621216,6,1,560.0,570,1.0,1,0,0,0,0,0,0,1,0,0,0,132.0487894350697,9,9,9-10,9-10,1,0,0.7744283172485572
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,Jam,205,Jewelry,19.39661829066159,0,1,1190.0,1205,4.0,0,1,0,0,0,0,1,0,0,0,0,130.7530335474661,19,20,19-20,20-21,1,1,0.009014809059619787
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,Jam,100,Outdoors,13.76397722442764,5,1,1225.0,1235,4.0,0,0,1,0,0,0,0,1,0,0,0,131.05933745904622,20,20,20-21,20-21,1,0,0.02638555026584362
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,Jam,200,Cosmetics,16.849939918016496,2,1,1230.0,1240,4.0,1,0,0,0,0,0,0,1,0,0,0,132.90250280164364,20,20,20-21,20-21,1,0,0.017593131203174586
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,Jam,205,Snacks,10.75710880025813,6,1,1240.0,1250,4.0,1,0,0,0,0,0,0,0,0,0,0,131.9043321299639,20,20,20-21,20-21,1,0,0.03924650618890291
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,Jam,75,Jewelry,4.540574388731296,1,1,1275.0,1290,4.0,1,0,0,0,0,1,0,0,0,0,1,130.7530335474661,21,21,21-22,21-22,1,0,0.057484949648621844
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,Jam,180,Toys,12.256076445468295,2,1,1220.0,1225,4.0,1,0,0,0,0,0,0,1,0,0,0,129.39590075512405,20,20,20-21,20-21,1,0,0.02139849713677451
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,Low,130,Books,19.61873934880101,3,0,1350.0,1365,1.0,0,0,1,0,0,0,0,1,0,0,0,131.02160056657223,22,22,22-23,22-23,1,0,0.14792905802192582
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,Low,100,Clothing,1.5581322655568652,4,1,495.0,510,1.0,1,0,0,0,0,0,0,1,0,0,0,130.48368953880765,8,8,8-9,8-9,1,0,0.8920730473290028
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,Jam,195,Snacks,20.18063511411472,6,1,1170.0,1185,4.0,0,1,0,0,0,0,0,0,0,0,1,131.9043321299639,19,19,19-20,19-20,1,0,0.020252200124488123
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,High,170,Jewelry,6.116971669682334,5,0,745.0,750,3.0,1,0,0,0,0,0,0,0,0,0,0,130.7530335474661,12,12,12-13,12-13,1,0,0.4023101696869318
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,Medium,75,Outdoors,17.07559440107296,6,1,1115.0,1130,2.0,0,0,1,0,0,0,0,0,0,1,0,131.05933745904622,18,18,18-19,18-19,1,0,0.13660488468664622
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,Jam,90,Cosmetics,4.470286489434607,1,1,1235.0,1240,4.0,1,0,0,0,0,1,0,0,1,0,0,132.90250280164364,20,20,20-21,20-21,1,0,0.04017468149079413
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,Low,190,Electronics,13.68204452608078,5,0,1400.0,1410,1.0,0,1,0,0,0,0,0,0,0,0,0,130.83713583713583,23,23,23-24,23-24,1,0,0.12302377789788285
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,Jam,235,Cosmetics,13.973182653917394,2,1,1280.0,1295,4.0,1,0,0,0,0,0,0,0,0,0,1,132.90250280164364,21,21,21-22,21-22,1,0,0.014082231416052452
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,Low,60,Jewelry,16.85361872985359,5,0,1415.0,1425,1.0,0,0,1,0,0,1,0,0,0,0,1,130.7530335474661,23,23,23-24,23-24,1,0,0.20057877471825278
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,Low,130,Jewelry,4.674172124263269,4,0,1355.0,1370,1.0,1,0,0,0,0,0,0,1,0,0,0,130.7530335474661,22,22,22-23,22-23,1,0,0.280151830474892
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,Low,110,Cosmetics,7.601616771071091,5,0,1355.0,1360,1.0,1,0,0,0,0,1,0,0,1,0,0,132.90250280164364,22,22,22-23,22-23,1,0,0.11608062729779094
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,Low,105,Jewelry,7.720324413179964,4,0,1405.0,1415,1.0,1,0,0,0,0,1,0,1,0,0,0,130.7530335474661,23,23,23-24,23-24,1,0,0.21652787006779145
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,High,125,Shoes,6.175636261016932,4,0,815.0,820,3.0,0,1,0,0,0,1,0,0,0,0,0,131.1515378844711,13,13,13-14,13-14,1,0,0.6085492619996371
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,Low,150,Sports,19.914686965545187,5,0,1355.0,1365,1.0,0,1,0,0,0,0,0,0,0,0,0,132.24714968738508,22,22,22-23,22-23,1,0,0.13520102358066644
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,Medium,110,Jewelry,10.724517748046024,1,1,1135.0,1150,2.0,1,0,0,0,0,0,0,0,0,1,0,130.7530335474661,18,19,18-19,19-20,1,1,0.143536064311148
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,High,50,Toys,6.127835452844327,6,0,855.0,865,3.0,0,1,0,0,0,1,0,0,0,0,1,129.39590075512405,14,14,14-15,14-15,1,0,0.5283715478412792
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,Low,95,Kitchen,1.5203573134022046,2,1,660.0,670,1.0,0,1,0,0,0,0,0,1,0,0,0,132.32697343808454,11,11,11-12,11-12,1,0,0.7865044068842938
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,Low,55,Clothing,3.0734537599377685,4,1,585.0,595,1.0,0,1,0,0,0,1,0,0,0,1,0,130.48368953880765,9,9,9-10,9-10,1,0,0.9157787330711292
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,Low,55,Kitchen,3.105131477545897,0,1,520.0,535,1.0,0,1,0,0,0,0,0,0,1,0,0,132.32697343808454,8,8,8-9,8-9,1,0,0.7416847263772088
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,Low,140,Books,10.86742683448048,4,0,1380.0,1390,1.0,1,0,0,0,0,0,1,0,0,0,0,131.02160056657223,23,23,23-24,23-24,1,0,0.12527794652231752
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,Jam,260,Clothing,13.682516298592295,0,1,1185.0,1190,4.0,1,0,0,0,0,0,0,1,0,0,0,130.48368953880765,19,19,19-20,19-20,1,0,0.03646957143927687
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,Jam,110,Cosmetics,16.826241648658115,1,1,1150.0,1165,4.0,0,1,0,0,0,0,0,0,1,0,0,132.90250280164364,19,19,19-20,19-20,1,0,0.01490102549017562
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,Jam,55,Apparel,9.175193844437826,3,1,1300.0,1305,4.0,0,0,1,0,0,0,0,0,0,1,0,132.0487894350697,21,21,21-22,21-22,1,0,0.045271051324180356
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,Medium,125,Snacks,9.315069177421892,5,1,1140.0,1155,2.0,0,1,0,0,0,0,0,0,0,0,1,131.9043321299639,19,19,19-20,19-20,1,0,0.17715344508372324
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,Medium,130,Jewelry,6.209021101535612,2,0,1005.0,1015,2.0,1,0,0,0,0,1,0,0,0,0,0,130.7530335474661,16,16,16-17,16-17,1,0,0.5472458635896769
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,High,90,Shoes,1.5203447277401048,5,1,690.0,700,3.0,0,1,0,0,0,0,0,0,0,1,0,131.1515378844711,11,11,11-12,11-12,1,0,0.6092076333265493
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,Medium,80,Books,6.037225392443855,6,0,910.0,915,2.0,1,0,0,0,0,0,1,0,0,0,0,131.02160056657223,15,15,15-16,15-16,1,0,0.41778781662465164
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,Low,115,Cosmetics,17.078665498349437,4,0,1365.0,1375,1.0,0,1,0,0,0,0,0,0,1,0,0,132.90250280164364,22,22,22-23,22-23,1,0,0.08363648600694665
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,Low,75,Home,4.717601092054723,6,0,1330.0,1345,1.0,1,0,0,0,0,0,0,0,0,0,0,130.95530726256985,22,22,22-23,22-23,1,0,0.3349502014276844
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,Jam,180,Kitchen,12.46432929763658,0,1,1245.0,1255,4.0,1,0,0,0,0,0,0,1,0,0,0,132.32697343808454,20,20,20-21,20-21,1,0,0.0328241290525011
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,Low,80,Clothing,9.121425981981249,5,0,1370.0,1385,1.0,1,0,0,0,0,0,0,0,0,0,0,130.48368953880765,22,23,22-23,23-24,1,1,0.14111361546338066
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,Medium,95,Snacks,14.023232083084483,3,0,1075.0,1080,2.0,1,0,0,0,0,1,0,0,0,1,0,131.9043321299639,17,18,17-18,18-19,1,1,0.3205682457926614
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,Low,135,Jewelry,13.392612276663236,0,0,1365.0,1380,1.0,1,0,0,0,0,0,0,0,0,1,0,130.7530335474661,22,23,22-23,23-24,1,1,0.14434875179137338
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,Jam,245,Apparel,12.58026782240096,2,1,1235.0,1250,4.0,0,1,0,0,1,0,1,0,0,0,0,132.0487894350697,20,20,20-21,20-21,1,0,0.014216781740569276
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,Low,100,Shoes,1.4899271643865588,5,1,565.0,580,1.0,0,1,0,1,0,0,0,0,0,0,1,131.1515378844711,9,9,9-10,9-10,1,0,0.8077573987522993
etss702593505,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,Jam,150,Sports,9.435201537430713,6,1,1215.0,1220,4.0,1,0,0,0,0,0,0,0,0,0,0,132.24714968738508,20,20,20-21,20-21,1,0,0.03985792252024468
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,Low,90,Cosmetics,11.916582838288104,1,0,1345.0,1355,1.0,0,1,0,0,0,1,0,1,0,0,0,132.90250280164364,22,22,22-23,22-23,1,0,0.29821149337768094
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,Jam,110,Books,4.663566689152146,2,1,1315.0,1320,4.0,0,1,0,0,0,0,0,0,0,1,0,131.02160056657223,21,22,21-22,22-23,1,1,0.03282533958941733
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,Low,170,Shoes,10.64115772933754,5,0,1360.0,1375,1.0,0,1,0,0,0,0,0,0,0,0,0,131.1515378844711,22,22,22-23,22-23,1,0,0.17050423253067054
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,Low,120,Jewelry,16.818368923732613,3,0,1430.0,1435,1.0,1,0,0,0,0,1,0,1,0,0,0,130.7530335474661,23,23,23-24,23-24,1,0,0.21910006978641286
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,Medium,85,Pet Supplies,6.128551257919138,3,0,925.0,940,2.0,0,1,0,0,0,0,1,0,0,0,0,131.29182156133828,15,15,15-16,15-16,1,0,0.3973719181929111
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,Low,70,Shoes,2.996250036665907,1,1,620.0,630,1.0,0,0,1,0,0,0,0,1,0,0,0,131.1515378844711,10,10,10-11,10-11,1,0,0.8006221744785037
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,Jam,150,Skincare,7.342175722857793,1,1,1255.0,1260,4.0,1,0,0,0,0,0,0,0,1,0,0,132.02741702741702,20,21,20-21,21-22,1,1,0.012405787666004699
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,Medium,80,Apparel,6.290134677634678,0,0,955.0,965,2.0,0,1,0,0,0,1,1,0,0,0,0,132.0487894350697,15,16,15-16,16-17,1,1,0.32860378258945666
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,Jam,180,Home,13.972123977178622,2,1,1210.0,1215,4.0,0,1,0,0,0,0,0,0,0,0,0,130.95530726256985,20,20,20-21,20-21,1,0,0.03021880096503607
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,High,90,Sports,6.081440797008078,3,0,730.0,735,3.0,0,1,0,0,0,1,0,0,0,1,0,132.24714968738508,12,12,12-13,12-13,1,0,0.7162484271374283
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,Medium,85,Outdoors,6.080891507842322,1,0,930.0,945,2.0,0,1,0,0,0,0,1,0,0,0,0,131.05933745904622,15,15,15-16,15-16,1,0,0.33759178512949595
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,Low,75,Apparel,12.58026782240096,4,0,1330.0,1335,1.0,1,0,0,0,0,1,0,1,0,0,0,132.0487894350697,22,22,22-23,22-23,1,0,0.3059731296978635
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,Low,85,Books,3.145067434621583,2,1,635.0,645,1.0,1,0,0,0,0,0,1,0,0,0,0,131.02160056657223,10,10,10-11,10-11,1,0,0.6553740754969252
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,Low,50,Shoes,9.220373067021216,5,0,1430.0,5,1.0,1,0,0,0,0,0,1,0,0,0,0,131.1515378844711,23,0,23-24,0-1,1,1,0.5569965150752771
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,Jam,135,Sports,7.862668167410368,4,1,1270.0,1285,4.0,1,0,0,0,0,0,1,0,0,0,0,132.24714968738508,21,21,21-22,21-22,1,0,0.016252325839198663
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,Jam,185,Pet Supplies,13.96960642768458,5,1,1225.0,1240,4.0,1,0,0,0,0,0,0,1,0,0,0,131.29182156133828,20,20,20-21,20-21,1,0,0.01891914840516416
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,Jam,220,Electronics,13.973206773137711,1,1,1250.0,1260,4.0,0,1,0,0,0,0,1,0,0,0,0,130.83713583713583,20,21,20-21,21-22,1,1,0.008674456234760562
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,High,140,Snacks,6.058853851669116,5,0,755.0,765,3.0,0,0,1,0,0,0,0,0,0,0,1,131.9043321299639,12,12,12-13,12-13,1,0,0.5292309565871132
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,Jam,210,Apparel,17.07799287216204,3,1,1260.0,1275,4.0,0,1,0,0,0,0,0,0,0,0,0,132.0487894350697,21,21,21-22,21-22,1,0,0.022667391392516056
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,Low,125,Sports,17.29786575291325,2,0,1420.0,1435,1.0,1,0,0,0,0,0,0,0,0,0,1,132.24714968738508,23,23,23-24,23-24,1,0,0.13765637462550773
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,Medium,195,Jewelry,17.072871906399556,6,1,1095.0,1100,2.0,0,1,0,0,0,0,0,0,0,0,0,130.7530335474661,18,18,18-19,18-19,1,0,0.10681993875494875
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,Medium,100,Electronics,16.818368923732613,6,1,1100.0,1105,2.0,1,0,0,0,0,1,0,0,1,0,0,130.83713583713583,18,18,18-19,18-19,1,0,0.09187788941018686
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,High,155,Kitchen,2.979502850576494,3,1,705.0,710,3.0,1,0,0,0,0,0,0,0,1,0,0,132.32697343808454,11,11,11-12,11-12,1,0,0.31454080833240206
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,Jam,65,Home,9.220865975037842,2,1,1245.0,1255,4.0,1,0,0,0,0,0,0,0,1,0,0,130.95530726256985,20,20,20-21,20-21,1,0,0.015052514101695455
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,Jam,140,Home,7.661331134220826,3,1,1315.0,1330,4.0,1,0,0,0,0,0,0,0,1,0,0,130.95530726256985,21,22,21-22,22-23,1,1,0.008722690781160657
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,High,95,Snacks,6.175516093405999,1,0,765.0,770,3.0,0,1,0,0,0,1,0,0,0,0,1,131.9043321299639,12,12,12-13,12-13,1,0,0.6367357481153948
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,Low,210,Kitchen,12.209856560906529,4,0,1410.0,1425,1.0,1,0,0,0,0,1,1,0,0,0,0,132.32697343808454,23,23,23-24,23-24,1,0,0.1300527061243399
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,Low,115,Electronics,1.5526813140972442,1,1,650.0,655,1.0,1,0,0,0,0,0,1,0,0,0,0,130.83713583713583,10,10,10-11,10-11,1,0,0.7134840620049555
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,Jam,195,Cosmetics,16.902806732498032,2,1,1285.0,1300,4.0,1,0,0,0,0,0,0,0,1,0,0,132.90250280164364,21,21,21-22,21-22,1,0,0.006336070074550132
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,Low,125,Outdoors,1.5093577696337532,4,1,610.0,620,1.0,1,0,0,0,0,0,0,0,1,0,0,131.05933745904622,10,10,10-11,10-11,1,0,0.6328660711390471
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,Low,75,Clothing,6048.631240095335,2,0,1380.0,1385,1.0,0,1,0,0,0,0,0,1,0,0,0,130.48368953880765,23,23,23-24,23-24,1,0,1.8958556565957144e-132
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,Low,75,Books,3.0251186390184004,4,1,520.0,535,1.0,0,1,0,0,0,1,0,0,0,0,0,131.02160056657223,8,8,8-9,8-9,1,0,0.905402116334404
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,Medium,75,Home,13.407092693002484,0,0,1070.0,1075,2.0,0,0,1,0,0,0,0,0,0,1,0,130.95530726256985,17,17,17-18,17-18,1,0,0.3727693119845563
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,Jam,75,Electronics,16.721976048741215,4,1,1225.0,1240,4.0,1,0,0,0,0,0,0,0,1,0,0,130.83713583713583,20,20,20-21,20-21,1,0,0.015275693540174377
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,Low,90,Outdoors,7.772343594464243,4,0,1340.0,1345,1.0,1,0,0,0,0,0,0,0,0,1,0,131.05933745904622,22,22,22-23,22-23,1,0,0.36386747798096886
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,Low,145,Clothing,13.773737657079298,0,0,1420.0,1430,1.0,0,0,1,0,0,0,0,1,0,0,0,130.48368953880765,23,23,23-24,23-24,1,0,0.15075561889682065
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,Low,100,Snacks,7.790158927084966,4,0,1405.0,1410,1.0,1,0,0,0,0,0,1,0,0,0,0,131.9043321299639,23,23,23-24,23-24,1,0,0.12352030892219623
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,High,195,Skincare,6.217834398578936,6,0,760.0,775,3.0,0,1,0,0,0,0,0,0,0,0,0,132.02741702741702,12,12,12-13,12-13,1,0,0.4598636140471674
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,Low,95,Sports,16.852834881460105,4,0,1410.0,1425,1.0,1,0,0,0,0,0,0,0,0,0,1,132.24714968738508,23,23,23-24,23-24,1,0,0.14521410981040989
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,Low,85,Electronics,19.879870677373702,2,0,1370.0,1380,1.0,1,0,0,0,0,0,0,0,0,0,1,130.83713583713583,22,23,22-23,23-24,1,1,0.0950055470998276
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,Low,75,Books,1.5580833985948437,1,1,625.0,640,1.0,1,0,0,0,0,1,0,0,1,0,0,131.02160056657223,10,10,10-11,10-11,1,0,0.7051816094261976
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,Low,95,Apparel,3.025332706173566,1,1,525.0,540,1.0,1,0,0,0,0,1,0,1,0,0,0,132.0487894350697,8,9,8-9,9-10,1,1,0.7788079865048896
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,Jam,145,Apparel,13.97194896017493,4,1,1285.0,1300,4.0,1,0,0,0,0,0,0,1,0,0,0,132.0487894350697,21,21,21-22,21-22,1,0,0.022126648924169462
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,Low,110,Jewelry,16.83090555193196,4,0,1355.0,1360,1.0,0,1,0,0,0,1,0,0,0,0,0,130.7530335474661,22,22,22-23,22-23,1,0,0.2438760381526096
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,Jam,210,Books,20.20779793335816,2,1,1210.0,1220,4.0,0,1,0,0,0,0,1,0,0,0,0,131.02160056657223,20,20,20-21,20-21,1,0,0.009656793522111254
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,Low,60,Sports,3.040641621538495,1,1,655.0,670,1.0,0,1,0,0,0,1,0,1,0,0,0,132.24714968738508,10,11,10-11,11-12,1,1,0.7423020204948987
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,Jam,190,Skincare,20.253785359470783,1,1,1235.0,1245,4.0,1,0,0,0,0,0,0,0,0,0,0,132.02741702741702,20,20,20-21,20-21,1,0,0.014590462486678795
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,Low,115,Outdoors,16.72129600980331,3,0,1400.0,1415,1.0,1,0,0,0,0,0,0,0,0,1,0,131.05933745904622,23,23,23-24,23-24,1,0,0.16993827247824986
